fsq_place_id,name,address,latitude,longitude,country_code
5259adfd498e8d8c6524c701,Velvet Bar,"Ganghoferstr. 1, 12043 Berlin",52.47907883,13.43842112,DE
4b71aae4f964a520d1542de3,TiER,"Weserstr. 42 (Fuldastr.), 12045 Berlin",52.48486749,13.43760657,DE
531b95a6498efcbaf0388329,Yuma Bar,"Weserstr. 14, 12047 Berlin",52.48762015,13.43071597,DE
58fbd9d4a423622722ea16a7,Truffle Pig Bar,"Reuterstr. 47, 12047 Berlin",52.49014688,13.42840057,DE
51bb5e86498e3e2a6276f20f,Klunkerkranich,"Karl-Marx-Str. 66, 12043 Berlin",52.48209624,13.43141961,DE
57b8a66ccd10ab004e256f6c,Muted Horn,"Flughafenstr. 49 (Hermannstr.), 12053 Berlin",52.48070841,13.42628054,DE
56b654de498e8bc7cb23f478,Wildenbruch Bar,"Wildenbruchstraße 68 (Harzerstraße), Berlin",52.48628178,13.4459948,DE
548b699b498e384ea1d193e1,Thelonious Bar,"Weserstr. 202, 12047 Berlin",52.48773912,13.43101775,DE
4cc4a6f4be40a35dd3ec7f4c,Nathanja & Heinrich,"Weichselstr. 44 (Ossastr.), 12059 Berlin",52.48746331,13.43642587,DE
4ec846a9d3e3e131f33ee56d,Geist im Glas,"Lenaustr. 27 (Kottbusser Damm), 12047 Berlin",52.490175,13.42472055,DE
4d850d478de9721ef0c33e51,Frollein Langner,"Weisestr. 34 (Okerstr.), 12049 Berlin",52.47401135,13.42507755,DE
54e10a6a498e2dc6fb1a965e,Rotbart,"Böhmische Str. 43, 12055 Berlin",52.47414927,13.44925355,DE
4bbcf4290780952198fdd991,SOULCAT Music Bar,"Pannierstr. 53, 12047 Berlin",52.48798332,13.43172444,DE
59600485123a19106a74b87f,Herr Lindemann,"Richardplatz 16, 12055 Berlin",52.47364942,13.44518817,DE
537680d6498e82a2811855b7,Dschungel,"Friedelstr. 12, 12047 Berlin",52.48924807,13.42773328,DE
50b66cd2e4b0bc146bb4280c,Alter Roter Löwe Rein,"Richardstr. 31, 12043 Berlin",52.47576452,13.44317757,DE
4fdcfc43e4b05197cd77a00c,Vater,"Reuterstr. 27 (Sonnenallee), 12047 Berlin",52.487702,13.43111,DE
